Sentence,Readability,source,type,readability_confidence,aldi_score,aldi_label,ags_score,ags_label,art_id,artist_id,artist_name,art_title,writer,composer,verse_order,origin,dialect,corpus_version,word_count
خروف,1,barec,,1.0,0.333389,mid,0.336218,mid,,,,,,,,,,,
ديما,1,barec,,1.0,0.208894,low,0.946223,high,,,,,,,,,,,
مع,1,barec,,1.0,0.005411,low,0.883065,high,,,,,,,,,,,
نشاط,1,barec,,1.0,0.015943,low,0.168942,low,,,,,,,,,,,
بي بي . .,1,barec,,1.0,0.295666,low,0.849572,high,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
مصفاة . . . !,1,barec,,1.0,0.111341,low,0.306745,low,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
ناصح ! !,1,barec,,1.0,0.348603,mid,0.464016,mid,,,,,,,,,,,
صحيح,1,barec,,1.0,0.014647,low,0.742703,high,,,,,,,,,,,
حليم :,1,barec,,1.0,0.012626,low,0.312918,low,,,,,,,,,,,
لا . .,1,barec,,1.0,0.066002,low,0.752864,high,,,,,,,,,,,
لوحة,1,barec,,1.0,0.138581,low,0.619372,mid,,,,,,,,,,,
ماااء . .,1,barec,,1.0,0.317138,low,0.546915,mid,,,,,,,,,,,
عسل,1,barec,,1.0,0.131035,low,0.640279,mid,,,,,,,,,,,
بصل,1,barec,,1.0,0.526777,mid,0.873235,high,,,,,,,,,,,
كاندام,1,barec,,1.0,0.009993,low,0.683037,high,,,,,,,,,,,
", ريمي ريمي ريمي ريمي ريمي ريمي .",1,barec,,1.0,0.151115,low,0.767629,high,,,,,,,,,,,
- أعرف .,1,barec,,1.0,0.02284,low,0.835755,high,,,,,,,,,,,
ممم .,1,barec,,1.0,0.12825,low,0.812869,high,,,,,,,,,,,
حليم :,1,barec,,1.0,0.012626,low,0.312918,low,,,,,,,,,,,
تنبيه .,1,barec,,1.0,0.0,low,0.421018,mid,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
بي بي,1,barec,,1.0,0.349683,mid,0.946087,high,,,,,,,,,,,
جيد,1,barec,,1.0,0.002264,low,0.260702,low,,,,,,,,,,,
بارد,1,barec,,1.0,0.195512,low,0.905113,high,,,,,,,,,,,
- أعرف .,1,barec,,1.0,0.02284,low,0.835755,high,,,,,,,,,,,
تمهيد,1,barec,,1.0,0.000258,low,0.327491,low,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
تمهيد,1,barec,,1.0,0.000258,low,0.327491,low,,,,,,,,,,,
آلو !,1,barec,,1.0,0.893038,high,0.557843,mid,,,,,,,,,,,
جبل,1,barec,,1.0,0.017887,low,0.921243,high,,,,,,,,,,,
ماء,1,barec,,1.0,0.00898,low,0.666321,high,,,,,,,,,,,
س . و . ب .,1,barec,,1.0,0.259556,low,0.631292,mid,,,,,,,,,,,
نعم !,1,barec,,1.0,0.001358,low,0.511818,mid,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
بالون,1,barec,,1.0,0.004122,low,0.839536,high,,,,,,,,,,,
- لا .,1,barec,,1.0,0.042271,low,0.820961,high,,,,,,,,,,,
مو,1,barec,,1.0,0.897687,high,0.770212,high,,,,,,,,,,,
آلو . .,1,barec,,1.0,0.84015,high,0.597905,mid,,,,,,,,,,,
ممتاز,1,barec,,1.0,0.003769,low,0.713891,high,,,,,,,,,,,
بي بي,1,barec,,1.0,0.349683,mid,0.946087,high,,,,,,,,,,,
رقم,1,barec,,1.0,0.000968,low,0.978223,high,,,,,,,,,,,
سعيد . .,1,barec,,1.0,0.01711,low,0.692255,high,,,,,,,,,,,
تمهيد,1,barec,,1.0,0.000258,low,0.327491,low,,,,,,,,,,,
مدير,1,barec,,1.0,0.027781,low,0.825722,high,,,,,,,,,,,
رائع . .,1,barec,,1.0,0.01486,low,0.665825,high,,,,,,,,,,,
ها . . ها . .,1,barec,,1.0,0.841969,high,0.583793,mid,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
غزال,1,barec,,1.0,0.073609,low,0.330045,mid,,,,,,,,,,,
ماااء !,1,barec,,1.0,0.352811,mid,0.492342,mid,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
قلم,1,barec,,1.0,5e-06,low,0.66567,high,,,,,,,,,,,
هجوم !,1,barec,,1.0,0.000791,low,0.320945,low,,,,,,,,,,,
", فرحان . .",1,barec,,1.0,0.374955,mid,0.317537,low,,,,,,,,,,,
هلا . . هلا . . هلا,1,barec,,1.0,0.816169,high,0.694313,high,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
مدير,1,barec,,1.0,0.027781,low,0.825722,high,,,,,,,,,,,
ديك,1,barec,,1.0,0.819398,high,0.242098,low,,,,,,,,,,,
ثعبان,1,barec,,1.0,0.042757,low,0.394891,mid,,,,,,,,,,,
رف . .,1,barec,,1.0,0.035083,low,0.309421,low,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
ممتاز,1,barec,,1.0,0.003769,low,0.713891,high,,,,,,,,,,,
بيت,1,barec,,1.0,0.010701,low,0.222788,low,,,,,,,,,,,
مثل :,1,barec,,1.0,0.010785,low,0.506594,mid,,,,,,,,,,,
موزة . .,1,barec,,1.0,0.363273,mid,0.571596,mid,,,,,,,,,,,
لا !,1,barec,,1.0,0.046745,low,0.741415,high,,,,,,,,,,,
بر .,1,barec,,1.0,0.227353,low,0.782657,high,,,,,,,,,,,
ميت :,1,barec,,1.0,0.068188,low,0.630522,mid,,,,,,,,,,,
بنت,1,barec,,1.0,0.168869,low,0.855428,high,,,,,,,,,,,
سكر . .,1,barec,,1.0,0.037967,low,0.794524,high,,,,,,,,,,,
نعم,1,barec,,1.0,0.000582,low,0.515837,mid,,,,,,,,,,,
بريد,1,barec,,1.0,0.001731,low,0.906989,high,,,,,,,,,,,
ريمي ريمي ريمي ريمي ريمي ريمي .,1,barec,,1.0,0.148755,low,0.7285,high,,,,,,,,,,,
مدير,1,barec,,1.0,0.027781,low,0.825722,high,,,,,,,,,,,
كلب ؟ ! !,1,barec,,1.0,0.105168,low,0.6561,mid,,,,,,,,,,,
شهر,1,barec,,1.0,0.000342,low,0.937975,high,,,,,,,,,,,
( أحمد ) .,1,barec,,1.0,0.010394,low,0.845648,high,,,,,,,,,,,
بحر,1,barec,,1.0,0.004368,low,0.37058,mid,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
حبل,1,barec,,1.0,0.008886,low,0.424974,mid,,,,,,,,,,,
تمهيد,1,barec,,1.0,0.000258,low,0.327491,low,,,,,,,,,,,
باتمان باتمان . .,1,barec,,1.0,0.070357,low,0.661088,high,,,,,,,,,,,
لالا . .,1,barec,,1.0,0.362219,mid,0.743691,high,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
ممتاز,1,barec,,1.0,0.003769,low,0.713891,high,,,,,,,,,,,
ستانلي . .,1,barec,,1.0,0.017134,low,0.658661,mid,,,,,,,,,,,
ألعب,1,barec,,1.0,0.021273,low,0.95668,high,,,,,,,,,,,
فرحان . .,1,barec,,1.0,0.402976,mid,0.283509,low,,,,,,,,,,,
""" سارلا . """,1,barec,,1.0,0.010466,low,0.273362,low,,,,,,,,,,,
تقديم,1,barec,,1.0,0.0,low,0.519308,mid,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
فرحان .,1,barec,,1.0,0.408886,mid,0.235557,low,,,,,,,,,,,
ناصر :,1,barec,,1.0,0.01704,low,0.783064,high,,,,,,,,,,,
هووو !,1,barec,,1.0,0.898222,high,0.735383,high,,,,,,,,,,,
هرم,1,barec,,1.0,0.033195,low,0.124829,low,,,,,,,,,,,
حليب,1,barec,,1.0,0.36469,mid,0.895729,high,,,,,,,,,,,
الله .,1,barec,,1.0,0.095733,low,0.219872,low,,,,,,,,,,,
ريمي ريمي ريمي ريمي ريمي ريمي .,1,barec,,1.0,0.148755,low,0.7285,high,,,,,,,,,,,
هوو !,1,barec,,1.0,0.778715,high,0.716239,high,,,,,,,,,,,
لا . .,1,barec,,1.0,0.066002,low,0.752864,high,,,,,,,,,,,
كرة,1,barec,,1.0,0.054563,low,0.519923,mid,,,,,,,,,,,
قصة,1,barec,,1.0,0.0,low,0.260632,low,,,,,,,,,,,
باب,1,barec,,1.0,0.021624,low,0.913457,high,,,,,,,,,,,
إنسان,1,barec,,1.0,0.003002,low,0.732959,high,,,,,,,,,,,
فرحان . .,1,barec,,1.0,0.402976,mid,0.283509,low,,,,,,,,,,,
هاهي .,1,barec,,1.0,0.054638,low,0.711379,high,,,,,,,,,,,
نوح,1,barec,,1.0,0.059487,low,0.721289,high,,,,,,,,,,,
لا,1,barec,,1.0,0.065787,low,0.969949,high,,,,,,,,,,,
آلو . . ؟ !,1,barec,,1.0,0.857088,high,0.661176,high,,,,,,,,,,,
طراش,1,barec,,1.0,0.977543,high,0.11136,low,,,,,,,,,,,
نشاط,1,barec,,1.0,0.015943,low,0.168942,low,,,,,,,,,,,
' = = تاريخ = =,1,barec,,1.0,0.032081,low,0.735332,high,,,,,,,,,,,
بر .,1,barec,,1.0,0.227353,low,0.782657,high,,,,,,,,,,,
مفهوم مفهوم,1,barec,,1.0,0.0,low,0.445428,mid,,,,,,,,,,,
ألعب ألعب,1,barec,,1.0,0.06121,low,0.917417,high,,,,,,,,,,,
جيد,1,barec,,1.0,0.002264,low,0.260702,low,,,,,,,,,,,
هند,1,barec,,1.0,0.03003,low,0.739419,high,,,,,,,,,,,
زجاج !,1,barec,,1.0,0.007848,low,0.326504,low,,,,,,,,,,,
أقرأ,1,barec,,1.0,0.000277,low,0.856039,high,,,,,,,,,,,
حاضر,1,barec,,1.0,0.325292,low,0.139204,low,,,,,,,,,,,
فرحان . .,1,barec,,1.0,0.402976,mid,0.283509,low,,,,,,,,,,,
لا . .,1,barec,,1.0,0.066002,low,0.752864,high,,,,,,,,,,,
صيد . .,1,barec,,1.0,0.045633,low,0.736491,high,,,,,,,,,,,
مدير,1,barec,,1.0,0.027781,low,0.825722,high,,,,,,,,,,,
مارد,1,barec,,1.0,0.324001,low,0.465719,mid,,,,,,,,,,,
بوم,1,barec,,1.0,0.063895,low,0.465501,mid,,,,,,,,,,,
مديد,1,barec,,1.0,0.239388,low,0.508528,mid,,,,,,,,,,,
* * نعم . .,1,barec,,1.0,0.001419,low,0.643146,mid,,,,,,,,,,,
بدر,1,barec,,1.0,0.172682,low,0.293183,low,,,,,,,,,,,
عشرة . .,1,barec,,1.0,0.003981,low,0.774342,high,,,,,,,,,,,
ها ها ها,1,barec,,1.0,0.920277,high,0.523243,mid,,,,,,,,,,,
كاندام,1,barec,,1.0,0.009993,low,0.683037,high,,,,,,,,,,,
نشيد,1,barec,,1.0,0.000299,low,0.3677,mid,,,,,,,,,,,
حافظ,1,barec,,1.0,0.001596,low,0.409911,mid,,,,,,,,,,,
نعم . .,1,barec,,1.0,0.002443,low,0.562751,mid,,,,,,,,,,,
كلب ! ! !,1,barec,,1.0,0.120183,low,0.710755,high,,,,,,,,,,,
ريمي .,1,barec,,1.0,0.06271,low,0.830959,high,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
فتحه . .,1,barec,,1.0,0.003996,low,0.688047,high,,,,,,,,,,,
كلب,1,barec,,1.0,0.02808,low,0.811276,high,,,,,,,,,,,
مشهد,1,barec,,1.0,0.0,low,0.400157,mid,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
بابا . .,1,barec,,1.0,0.283531,low,0.778372,high,,,,,,,,,,,
كلب ؟,1,barec,,1.0,0.043854,low,0.840719,high,,,,,,,,,,,
هوووووووو,1,barec,,1.0,0.770827,high,0.822103,high,,,,,,,,,,,
خنفس . .,1,barec,,1.0,0.158097,low,0.589192,mid,,,,,,,,,,,
- منير : .,1,barec,,1.0,0.045428,low,0.631314,mid,,,,,,,,,,,
إلياس,1,barec,,1.0,0.0,low,0.518736,mid,,,,,,,,,,,
نعم . .,1,barec,,1.0,0.002443,low,0.562751,mid,,,,,,,,,,,
تنبيه .,1,barec,,1.0,0.0,low,0.421018,mid,,,,,,,,,,,
خليل,1,barec,,1.0,0.012762,low,0.328956,low,,,,,,,,,,,
ها ها !,1,barec,,1.0,0.91171,high,0.533177,mid,,,,,,,,,,,
دجاج,1,barec,,1.0,0.016935,low,0.784766,high,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
دائم,1,barec,,1.0,0.280815,low,0.285193,low,,,,,,,,,,,
سجن ؟ !,1,barec,,1.0,0.037211,low,0.690574,high,,,,,,,,,,,
33 - شاطر شاطر,1,barec,,1.0,0.734309,high,0.346747,mid,,,,,,,,,,,
بيان,1,barec,,1.0,0.001963,low,0.175182,low,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
لا . لا .,1,barec,,1.0,0.08339,low,0.821081,high,,,,,,,,,,,
ها ها . .,1,barec,,1.0,0.888301,high,0.54843,mid,,,,,,,,,,,
نام,1,barec,,1.0,0.062943,low,0.325189,low,,,,,,,,,,,
إنسان,1,barec,,1.0,0.003002,low,0.732959,high,,,,,,,,,,,
- لا .,1,barec,,1.0,0.042271,low,0.820961,high,,,,,,,,,,,
بي بي !,1,barec,,1.0,0.334072,mid,0.805387,high,,,,,,,,,,,
حاضر .,1,barec,,1.0,0.36571,mid,0.156669,low,,,,,,,,,,,
نشيد,1,barec,,1.0,0.000299,low,0.3677,mid,,,,,,,,,,,
يرسم,1,barec,,1.0,0.002134,low,0.738137,high,,,,,,,,,,,
فرحان . .,1,barec,,1.0,0.402976,mid,0.283509,low,,,,,,,,,,,
- نعم . .,1,barec,,1.0,0.00046,low,0.599966,mid,,,,,,,,,,,
ماجد . .,1,barec,,1.0,0.009876,low,0.780999,high,,,,,,,,,,,
نعم,1,barec,,1.0,0.000582,low,0.515837,mid,,,,,,,,,,,
بي بي . .,1,barec,,1.0,0.295666,low,0.849572,high,,,,,,,,,,,
حاضر .,1,barec,,1.0,0.36571,mid,0.156669,low,,,,,,,,,,,
حجر . .,1,barec,,1.0,0.030231,low,0.738675,high,,,,,,,,,,,
إزميل . .,1,barec,,1.0,0.688453,high,0.424185,mid,,,,,,,,,,,
فرحان,1,barec,,1.0,0.445318,mid,0.187531,low,,,,,,,,,,,
رقم,1,barec,,1.0,0.000968,low,0.978223,high,,,,,,,,,,,
باب,1,barec,,1.0,0.021624,low,0.913457,high,,,,,,,,,,,
مثل,1,barec,,1.0,0.156008,low,0.428083,mid,,,,,,,,,,,
نعم . .,1,barec,,1.0,0.002443,low,0.562751,mid,,,,,,,,,,,
ترمس .,1,barec,,1.0,0.291807,low,0.289204,low,,,,,,,,,,,
هوو !,1,barec,,1.0,0.778715,high,0.716239,high,,,,,,,,,,,
دود,1,barec,,1.0,0.311292,low,0.553442,mid,,,,,,,,,,,
تمهيد,1,barec,,1.0,0.000258,low,0.327491,low,,,,,,,,,,,
راشد,1,barec,,1.0,0.002036,low,0.779902,high,,,,,,,,,,,
بلح,1,barec,,1.0,0.502387,mid,0.387689,mid,,,,,,,,,,,
سلم !,1,barec,,1.0,0.576366,mid,0.38019,mid,,,,,,,,,,,
جيد,1,barec,,1.0,0.002264,low,0.260702,low,,,,,,,,,,,
أقرأ,1,barec,,1.0,0.000277,low,0.856039,high,,,,,,,,,,,
قلم,1,barec,,1.0,5e-06,low,0.66567,high,,,,,,,,,,,
لا .,1,barec,,1.0,0.059434,low,0.827899,high,,,,,,,,,,,
هئ هئ هئ هئ هئ,1,barec,,1.0,0.428668,mid,0.540111,mid,,,,,,,,,,,
أريد . .,1,barec,,1.0,0.01339,low,0.317666,low,,,,,,,,,,,
يحب,1,barec,,1.0,0.026713,low,0.42102,mid,,,,,,,,,,,
سلمان . .,1,barec,,1.0,0.041503,low,0.736804,high,,,,,,,,,,,
أمر,1,barec,,1.0,0.014166,low,0.228728,low,,,,,,,,,,,
حمد,1,barec,,1.0,0.077477,low,0.783226,high,,,,,,,,,,,
بارد,1,barec,,1.0,0.195512,low,0.905113,high,,,,,,,,,,,
غريب ! !,1,barec,,1.0,0.024945,low,0.681305,high,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
رحلة,1,barec,,1.0,0.027426,low,0.976474,high,,,,,,,,,,,
بوم,1,barec,,1.0,0.063895,low,0.465501,mid,,,,,,,,,,,
جيد,1,barec,,1.0,0.002264,low,0.260702,low,,,,,,,,,,,
نعم . .,1,barec,,1.0,0.002443,low,0.562751,mid,,,,,,,,,,,
أرنب,1,barec,,1.0,0.012296,low,0.648717,mid,,,,,,,,,,,
قلم,1,barec,,1.0,5e-06,low,0.66567,high,,,,,,,,,,,
تنبيه .,1,barec,,1.0,0.0,low,0.421018,mid,,,,,,,,,,,
ريمي ريمي ريمي ريمي ريمي .,1,barec,,1.0,0.181696,low,0.740651,high,,,,,,,,,,,
نعم,1,barec,,1.0,0.000582,low,0.515837,mid,,,,,,,,,,,
عااااا,1,barec,,1.0,0.166584,low,0.490127,mid,,,,,,,,,,,
بهلووول,1,barec,,1.0,0.821459,high,0.274452,low,,,,,,,,,,,
فرصة !,1,barec,,1.0,0.038616,low,0.433203,mid,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
- نعم .,1,barec,,1.0,0.0,low,0.586548,mid,,,,,,,,,,,
- نعم . .,1,barec,,1.0,0.00046,low,0.599966,mid,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
درهم,1,barec,,1.0,0.000774,low,0.876662,high,,,,,,,,,,,
جندي,1,barec,,1.0,0.0,low,0.561773,mid,,,,,,,,,,,
تمهيد,1,barec,,1.0,0.000258,low,0.327491,low,,,,,,,,,,,
لا . . .,1,barec,,1.0,0.059088,low,0.792072,high,,,,,,,,,,,
تمهيد,1,barec,,1.0,0.000258,low,0.327491,low,,,,,,,,,,,
سيف . .,1,barec,,1.0,0.208554,low,0.514563,mid,,,,,,,,,,,
بسبس,1,barec,,1.0,0.050441,low,0.305192,low,,,,,,,,,,,
رائع !,1,barec,,1.0,0.011985,low,0.640807,mid,,,,,,,,,,,
فرحان,1,barec,,1.0,0.445318,mid,0.187531,low,,,,,,,,,,,
تونس,1,barec,,1.0,0.004422,low,0.632449,mid,,,,,,,,,,,
""" زهراء .",1,barec,,1.0,0.02011,low,0.267303,low,,,,,,,,,,,
أأأأأأو,1,barec,,1.0,0.527018,mid,0.577029,mid,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
لا !,1,barec,,1.0,0.046745,low,0.741415,high,,,,,,,,,,,
"لا , لا .",1,barec,,1.0,0.115219,low,0.848115,high,,,,,,,,,,,
غريب . .,1,barec,,1.0,0.021265,low,0.781455,high,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
تنبيه .,1,barec,,1.0,0.0,low,0.421018,mid,,,,,,,,,,,
جماد,1,barec,,1.0,0.024931,low,0.544181,mid,,,,,,,,,,,
نعم .,1,barec,,1.0,0.000862,low,0.520788,mid,,,,,,,,,,,
لا . .,1,barec,,1.0,0.066002,low,0.752864,high,,,,,,,,,,,
فرصة . .,1,barec,,1.0,0.033759,low,0.523588,mid,,,,,,,,,,,
قسيس .,1,barec,,1.0,0.163448,low,0.557416,mid,,,,,,,,,,,
محمود :,1,barec,,1.0,0.000298,low,0.820247,high,,,,,,,,,,,
قندس !,1,barec,,1.0,0.511011,mid,0.238882,low,,,,,,,,,,,
نشاط,1,barec,,1.0,0.015943,low,0.168942,low,,,,,,,,,,,
زهرة,1,barec,,1.0,0.034547,low,0.63296,mid,,,,,,,,,,,
ممتاز,1,barec,,1.0,0.003769,low,0.713891,high,,,,,,,,,,,
فرحان . .,1,barec,,1.0,0.402976,mid,0.283509,low,,,,,,,,,,,
آلو . .,1,barec,,1.0,0.84015,high,0.597905,mid,,,,,,,,,,,
نعم !,1,barec,,1.0,0.001358,low,0.511818,mid,,,,,,,,,,,
' = = تاريخ = =,1,barec,,1.0,0.032081,low,0.735332,high,,,,,,,,,,,
آلو . .,1,barec,,1.0,0.84015,high,0.597905,mid,,,,,,,,,,,
جيد,1,barec,,1.0,0.002264,low,0.260702,low,,,,,,,,,,,
باب,1,barec,,1.0,0.021624,low,0.913457,high,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
دفتر,1,barec,,1.0,0.018915,low,0.265346,low,,,,,,,,,,,
فرحان,1,barec,,1.0,0.445318,mid,0.187531,low,,,,,,,,,,,
عاجل عاجل عاجل,1,barec,,1.0,0.0,low,0.546835,mid,,,,,,,,,,,
لا,1,barec,,1.0,0.065787,low,0.969949,high,,,,,,,,,,,
هورس لاند,1,barec,,1.0,0.329232,low,0.832583,high,,,,,,,,,,,
مدير,1,barec,,1.0,0.027781,low,0.825722,high,,,,,,,,,,,
تنبيه .,1,barec,,1.0,0.0,low,0.421018,mid,,,,,,,,,,,
صابون !,1,barec,,1.0,0.212986,low,0.743123,high,,,,,,,,,,,
غريب !,1,barec,,1.0,0.016025,low,0.70384,high,,,,,,,,,,,
ماجد,1,barec,,1.0,0.006376,low,0.84746,high,,,,,,,,,,,
لا . . .,1,barec,,1.0,0.059088,low,0.792072,high,,,,,,,,,,,
جاوة,1,barec,,1.0,0.469919,mid,0.210437,low,,,,,,,,,,,
سيرك,1,barec,,1.0,0.010999,low,0.394718,mid,,,,,,,,,,,
فرحان . .,1,barec,,1.0,0.402976,mid,0.283509,low,,,,,,,,,,,
ولد,1,barec,,1.0,0.353345,mid,0.524725,mid,,,,,,,,,,,
نفس,1,barec,,1.0,0.118433,low,1.0,high,,,,,,,,,,,
شامير . .,1,barec,,1.0,0.28734,low,0.806271,high,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
دبي,1,barec,,1.0,0.0,low,0.793004,high,,,,,,,,,,,
نعم . .,1,barec,,1.0,0.002443,low,0.562751,mid,,,,,,,,,,,
لا . .,1,barec,,1.0,0.066002,low,0.752864,high,,,,,,,,,,,
نشاط,1,barec,,1.0,0.015943,low,0.168942,low,,,,,,,,,,,
فرحان .,1,barec,,1.0,0.408886,mid,0.235557,low,,,,,,,,,,,
ضعيف,1,barec,,1.0,0.026967,low,0.240035,low,,,,,,,,,,,
حرف,1,barec,,1.0,0.007772,low,0.553483,mid,,,,,,,,,,,
- أنا ؟ !,1,barec,,1.0,0.018349,low,0.752583,high,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
مبروك . .,1,barec,,1.0,0.11262,low,0.53086,mid,,,,,,,,,,,
- نعم . .,1,barec,,1.0,0.00046,low,0.599966,mid,,,,,,,,,,,
فرحان . .,1,barec,,1.0,0.402976,mid,0.283509,low,,,,,,,,,,,
دبس,1,barec,,1.0,0.354882,mid,0.107355,low,,,,,,,,,,,
أسرع . .,1,barec,,1.0,0.016935,low,0.760851,high,,,,,,,,,,,
نشاط,1,barec,,1.0,0.015943,low,0.168942,low,,,,,,,,,,,
أرسم,1,barec,,1.0,0.024725,low,0.709629,high,,,,,,,,,,,
سكر,1,barec,,1.0,0.01843,low,0.923244,high,,,,,,,,,,,
هورس لاند,1,barec,,1.0,0.329232,low,0.832583,high,,,,,,,,,,,
"- "" توم """,1,barec,,1.0,0.26552,low,0.857247,high,,,,,,,,,,,
حافظ .,1,barec,,1.0,0.007818,low,0.44271,mid,,,,,,,,,,,
أسبح,1,barec,,1.0,0.00885,low,0.211717,low,,,,,,,,,,,
! نعم-,1,tarab,poem,0.812504,0.001982,low,0.403788,mid,40729.0,2894.0,محمود درويش,جدارية محمود درويش,,,993.0,Palestine,MSA,Tarab,2.0
